Song,Concert,Year
Truckin',"Winterland Arena, San Francisco, CA (1/2/72)",1972
Sugaree,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Mr. Charlie,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Beat it on Down the Line,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Loser,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Jack Straw,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Chinatown Shuffle,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Your Love At Home,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Tennessee Jed,"Winterland Arena, San Francisco, CA (1/2/72)",1972
El Paso,"Winterland Arena, San Francisco, CA (1/2/72)",1972
You Win Again,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Big Railroad Blues,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Mexicali Blues,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Playing in the Band,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Next Time You See Me,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Brown Eyed Women,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Casey Jones,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Good Lovin',"Winterland Arena, San Francisco, CA (1/2/72)",1972
China Cat Sunflower,"Winterland Arena, San Francisco, CA (1/2/72)",1972
I Know You Rider,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Good Lovin',"Winterland Arena, San Francisco, CA (1/2/72)",1972
Ramble On Rose,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Sugar Magnolia,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Not Fade Away,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Goin' Down the Road Feeling Bad,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Not Fade Away,"Winterland Arena, San Francisco, CA (1/2/72)",1972
One More Saturday Night,"Winterland Arena, San Francisco, CA (1/2/72)",1972
Bertha,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Black Throated Wind,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Mr. Charlie,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Sugaree,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Greatest Story Ever Told,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Next Time You See Me,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Tennessee Jed,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Jack Straw,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
China Cat Sunflower,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
I Know You Rider,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Mexicali Blues,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
You Win Again,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
El Paso,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Casey Jones,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Good Lovin',"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Not Fade Away,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Goin' Down the Road Feeling Bad,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
Not Fade Away,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
One More Saturday Night,"Winteriand Arena, San Francisco, CA (3/5/72)",1972
[set list unknown],"Academy of Music, New York, NY (3/21/72)",1972
[set list unknown],"Academy of Music, New York, NY (3/22/72)",1972
China Cat Sunflower,"Academy of Music, New York, NY (3/23/72)",1972
I Know You Rider,"Academy of Music, New York, NY (3/23/72)",1972
Black Throated Wind,"Academy of Music, New York, NY (3/23/72)",1972
Chinatown Shuffle,"Academy of Music, New York, NY (3/23/72)",1972
Brown Eyed Women,"Academy of Music, New York, NY (3/23/72)",1972
Beat it on Down the Line,"Academy of Music, New York, NY (3/23/72)",1972
Looks Like Rain,"Academy of Music, New York, NY (3/23/72)",1972
Mr. Charlie,"Academy of Music, New York, NY (3/23/72)",1972
Jack Straw,"Academy of Music, New York, NY (3/23/72)",1972
Next Time You See Me,"Academy of Music, New York, NY (3/23/72)",1972
Playing in the Band,"Academy of Music, New York, NY (3/23/72)",1972
Truckin',"Academy of Music, New York, NY (3/23/72)",1972
Ramble On Rose,"Academy of Music, New York, NY (3/23/72)",1972
Two Souls In Communion,"Academy of Music, New York, NY (3/23/72)",1972
Mexicali Blues,"Academy of Music, New York, NY (3/23/72)",1972
Big Boss Man,"Academy of Music, New York, NY (3/23/72)",1972
Dark Star,"Academy of Music, New York, NY (3/23/72)",1972
Not Fade Away,"Academy of Music, New York, NY (3/23/72)",1972
Goin' Down the Road Feeling Bad,"Academy of Music, New York, NY (3/23/72)",1972
Not Fade Away,"Academy of Music, New York, NY (3/23/72)",1972
Sugar Magnolia,"Academy of Music, New York, NY (3/23/72)",1972
Hey Bo Diddiey,"Academy of Music, New York, NY (3/25/72)",1972
I'm A Man,"Academy of Music, New York, NY (3/25/72)",1972
Jam,"Academy of Music, New York, NY (3/25/72)",1972
Take it Off,"Academy of Music, New York, NY (3/25/72)",1972
Mona,"Academy of Music, New York, NY (3/25/72)",1972
How Sweet It Is,"Academy of Music, New York, NY (3/25/72)",1972
Are You Lonely For Me,"Academy of Music, New York, NY (3/25/72)",1972
Next Time You See Me,"Academy of Music, New York, NY (3/25/72)",1972
Brown Eyed Women,"Academy of Music, New York, NY (3/25/72)",1972
Smokestack Lightning,"Academy of Music, New York, NY (3/25/72)",1972
Top Of The World,"Academy of Music, New York, NY (3/25/72)",1972
